total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,hosp_patients,new_tests,total_tests,new_tests_smoothed,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,population,extreme_poverty
404714.0,1202.0,1562.286,7418.0,29.0,48.0,1518.0,51994.0,8735122.0,163479.0,215110.0,210221.0,4889.0,1274.0,14015.0,9043072.0,0.7
405723.0,1009.0,1540.571,7451.0,33.0,47.0,1548.0,67705.0,8802827.0,157866.0,216635.0,211632.0,5003.0,1525.0,12580.0,9043072.0,0.7
407140.0,1417.0,1530.714,7515.0,64.0,45.143,1583.0,103256.0,8906083.0,146764.0,225453.0,219536.0,5917.0,8818.0,10065.0,9043072.0,0.7
408781.0,1641.0,1526.429,7564.0,49.0,46.714,1526.0,91061.0,8997144.0,72609.0,233616.0,227164.0,6452.0,8163.0,7823.0,9043072.0,0.7
410230.0,1449.0,1490.286,7607.0,43.0,45.571,1478.0,92444.0,9089588.0,79193.0,243663.0,234525.0,9138.0,10047.0,6387.0,9043072.0,0.7
411730.0,1500.0,1406.286,7658.0,51.0,46.857,1428.0,71028.0,9160616.0,80961.0,258895.0,239946.0,18949.0,15232.0,6890.0,9043072.0,0.7
413208.0,1478.0,1385.143,7703.0,45.0,44.857,1385.0,125459.0,9286075.0,86135.0,262671.0,241312.0,21359.0,3776.0,6976.0,9043072.0,0.7
414398.0,1190.0,1383.429,7721.0,18.0,43.286,1387.0,69704.0,9355779.0,88665.0,264100.0,241728.0,22372.0,1429.0,6999.0,9043072.0,0.7
415522.0,1124.0,1399.857,7778.0,57.0,46.714,1433.0,126053.0,9481832.0,97001.0,268876.0,243343.0,25533.0,4776.0,7463.0,9043072.0,0.7
416763.0,1241.0,1374.714,7847.0,69.0,47.429,1429.0,81397.0,9563229.0,93878.0,286585.0,246506.0,40079.0,17709.0,8733.0,9043072.0,0.7
418283.0,1520.0,1357.429,7902.0,55.0,48.286,1383.0,181897.0,9745126.0,106855.0,305059.0,249752.0,55307.0,18474.0,10206.0,9043072.0,0.7
419801.0,1518.0,1367.286,7936.0,34.0,47.0,1342.0,108302.0,9853428.0,109120.0,325985.0,252682.0,73303.0,20926.0,11760.0,9043072.0,0.7
421189.0,1388.0,1351.286,7973.0,37.0,45.0,1304.0,87206.0,9940634.0,111431.0,347500.0,256897.0,90603.0,21515.0,12658.0,9043072.0,0.7
422522.0,1333.0,1330.571,7994.0,21.0,41.571,1289.0,159889.0,10100523.0,116350.0,356760.0,259694.0,97066.0,9260.0,13441.0,9043072.0,0.7
423839.0,1317.0,1348.714,8012.0,18.0,41.571,1275.0,212647.0,10313170.0,136770.0,361842.0,260327.0,101515.0,5082.0,13963.0,9043072.0,0.7
424896.0,1057.0,1339.143,8032.0,20.0,36.286,1299.0,128988.0,10442158.0,137189.0,371723.0,262414.0,109309.0,9881.0,14692.0,9043072.0,0.7
426093.0,1197.0,1332.857,8071.0,39.0,32.0,1318.0,310611.0,10752769.0,169934.0,391617.0,265328.0,126289.0,19894.0,15005.0,9043072.0,0.7
427562.0,1469.0,1325.571,8114.0,43.0,30.286,1262.0,221201.0,10973970.0,175549.0,413867.0,268988.0,144879.0,22250.0,15544.0,9043072.0,0.7
429139.0,1577.0,1334.0,8138.0,24.0,28.857,1212.0,231481.0,11205451.0,193146.0,438979.0,274461.0,164518.0,25112.0,16142.0,9043072.0,0.7
430870.0,1731.0,1383.0,8170.0,32.0,28.143,1151.0,203715.0,11409166.0,209790.0,466138.0,283116.0,183022.0,27159.0,16948.0,9043072.0,0.7
432303.0,1433.0,1397.286,8195.0,25.0,28.714,1062.0,214321.0,11623487.0,217566.0,476700.0,288527.0,188173.0,10562.0,17134.0,9043072.0,0.7
433487.0,1184.0,1378.286,8211.0,16.0,28.429,1056.0,139545.0,11763032.0,207123.0,478774.0,289010.0,189764.0,2074.0,16705.0,9043072.0,0.7
434712.0,1225.0,1402.286,8221.0,10.0,27.0,1104.0,157018.0,11920050.0,211127.0,485973.0,292966.0,193007.0,7199.0,16321.0,9043072.0,0.7
